,StateDesc,CityName,PopulationCount,GeoLocation,CityFIPS
584303,Ohio,Cleveland,396815,"(41.4765345821, -81.6805494865)",3916000.0
589284,Ohio,Columbus,787033,"(39.9859500484, -82.9851738516)",3918000.0
595932,Ohio,Dayton,141527,"(39.779768039, -84.1997930517)",3921000.0
597766,Ohio,Parma,81601,"(41.3842399838, -81.728599153)",3961000.0
598438,Ohio,Toledo,287208,"(41.6637399604, -83.5823818449)",3977000.0
601266,Ohio,Youngstown,66982,"(41.0993286607, -80.6463187081)",3988000.0
602218,Oklahoma,Broken Arrow,98850,"(36.0366324911, -95.7809572414)",4009050.0
603389,Oklahoma,Edmond,81405,"(35.6689350516, -97.4159205309)",4023200.0
604060,Oklahoma,Lawton,96867,"(34.6170564899, -98.4203934803)",4041850.0
604899,Oklahoma,Norman,110925,"(35.2335032647, -97.3470413838)",4052500.0
605791,Oklahoma,Oklahoma City,579999,"(35.467564288, -97.5137615524)",4055000.0
611954,Oklahoma,Tulsa,391906,"(36.1284213425, -95.9036195464)",4075000.0
615750,Oregon,Beaverton,89803,"(45.4795765674, -122.814973469)",4105350.0
616637,Oregon,Bend,76639,"(44.0561827184, -121.308690416)",4105800.0
617029,Oregon,Eugene,156185,"(44.0559363346, -123.117327584)",4123850.0
618313,Oregon,Gresham,105594,"(45.5024256798, -122.441469029)",4131250.0
619069,Oregon,Hillsboro,91611,"(45.529027994, -122.937442209)",4134100.0
619793,Oregon,Medford,74907,"(42.3371987584, -122.853625909)",4147000.0
620461,Oregon,Portland,583776,"(45.537180654, -122.650032751)",4159000.0
624983,Oregon,Salem,154637,"(44.923273154, -123.0248671)",4164900.0
626152,Pennsylvania,Allentown,118032,"(40.596099618, -75.4755373968)",4202000.0
626937,Pennsylvania,Bethlehem,74982,"(40.6266402578, -75.3679048175)",4206088.0
627496,Pennsylvania,Erie,101786,"(42.1164698754, -80.0730358517)",4224000.0
628392,Pennsylvania,Philadelphia,1526006,"(40.0093147808, -75.1333888571)",4260000.0
639138,Pennsylvania,Pittsburgh,305704,"(40.4396297486, -79.9762614995)",4261000.0
642925,Pennsylvania,Reading,88082,"(40.3399678686, -75.9266128837)",4263624.0
643733,Pennsylvania,Scranton,76089,"(41.4043729362, -75.6649126898)",4269000.0
644545,Rhode Island,Cranston,80387,"(41.7658017135, -71.4861485002)",4419180.0
645076,Rhode Island,Pawtucket,71148,"(41.8744534517, -71.3743580803)",4454640.0
645720,Rhode Island,Providence,178042,"(41.823480533, -71.4218129335)",4459000.0
646869,Rhode Island,Warwick,82672,"(41.7064727301, -71.4345615049)",4474300.0
647537,South Carolin,Charleston,120083,"(32.8136961892, -79.967381899)",4513330.0
648826,South Carolin,Columbia,129272,"(34.0366069566, -80.9037852694)",4516000.0
650709,South Carolin,Mount Pleasant,67843,"(32.8538274584, -79.8230343029)",4548535.0
651134,South Carolin,North Charleston,97471,"(32.9100915071, -80.0738525014)",4550875.0
652002,South Carolin,Rock Hill,66154,"(34.9403611496, -81.0249178286)",4561405.0
652670,South Dakota,Rapid City,67956,"(44.0705009564, -103.218361421)",4652980.0
653283,South Dakota,Sioux Falls,153888,"(43.5388067537, -96.7313495858)",4659020.0
654428,Tennessee,Chattanooga,167674,"(35.0662472165, -85.2466771892)",4714000.0
656063,Tennessee,Clarksville,132929,"(36.569683159, -87.3432371614)",4715160.0
657096,Tennessee,Knoxville,178874,"(35.9690594531, -83.9495877264)",4740000.0
659414,Tennessee,Memphis,646889,"(35.1046295042, -89.978906085)",4748000.0
664528,Tennessee,Murfreesboro,108755,"(35.850778195, -86.408628238)",4751560.0
665307,Tennessee,Nashville,601222,"(36.1712229904, -86.7845944773)",4752006.0
669731,Texas,Abilene,117063,"(32.4546510898, -99.7383043723)",4801000.0
670842,Texas,Allen,84246,"(33.1087043234, -96.6735373763)",4801924.0
671206,Texas,Amarillo,190695,"(35.2003835544, -101.828292514)",4803000.0
672802,Texas,Arlington,365438,"(32.699836862, -97.125089612)",4804000.0
674902,Texas,Austin,790390,"(30.3068610342, -97.7554771245)",4805000.0
680672,Texas,Baytown,71802,"(29.7571153043, -94.9676276217)",4806128.0
681279,Texas,Beaumont,118296,"(30.084416647, -94.1441072222)",4807000.0
682284,Texas,Brownsville,175023,"(25.9981977861, -97.4566343763)",4810768.0
683759,Texas,Bryan,76201,"(30.6665687582, -96.3663819223)",4810912.0
684263,Texas,Carrollton,119097,"(32.988438459, -96.900137433)",4813024.0
685292,Texas,College Station,93857,"(30.5867615801, -96.2957958614)",4815976.0
686072,Texas,Corpus Christi,305215,"(27.7291588337, -97.4019095379)",4817000.0
688226,Texas,Dallas,1197816,"(32.7939804066, -96.7656929463)",4819000.0
697183,Texas,Denton,113383,"(33.2156160443, -97.1412438684)",4819972.0
698094,Texas,Edinburg,77100,"(26.3155843974, -98.1637130371)",4822660.0
698514,Texas,El Paso,649121,"(31.8481123506, -106.432021874)",4824000.0
702361,Texas,Fort Worth,741206,"(32.780192804, -97.3470323225)",4827000.0
707107,Texas,Frisco,116989,"(33.1507545152, -96.8201336312)",4827684.0
708110,Texas,Garland,226876,"(32.9100799867, -96.6304258603)",4829000.0
709629,Texas,Grand Prairie,175396,"(32.6867650238, -97.0209311916)",4830464.0
710825,Texas,Houston,2099451,"(29.7806691396, -95.3860033966)",4835000.0
727613,Texas,Irving,216290,"(32.8583808131, -96.9703058323)",4837000.0
729146,Texas,Killeen,127921,"(31.0757648143, -97.7285651299)",4839148.0
730007,Texas,Laredo,236091,"(27.5482572475, -99.4867797312)",4841464.0
731710,Texas,League City,83560,"(29.4872995808, -95.1089858945)",4841980.0
732156,Texas,Lewisville,95290,"(33.0451992429, -96.9829273031)",4842508.0
733108,Texas,Longview,80455,"(32.5192857856, -94.762197598)",4843888.0
733775,Texas,Lubbock,229573,"(33.5666251178, -101.886335663)",4845000.0
735511,Texas,McAllen,129877,"(26.2186289942, -98.2451704536)",4845384.0
736319,Texas,McKinney,131117,"(33.1988886952, -96.6677029773)",4845744.0
737202,Texas,Mesquite,139824,"(32.7641310166, -96.5927445114)",4847892.0
738208,Texas,Midland,111147,"(32.0285948356, -102.109700973)",4848072.0
738987,Texas,Mission,77058,"(26.2033406464, -98.322770513)",4848768.0
739469,Texas,Missouri City,67358,"(29.563674661, -95.5382066661)",4848804.0
740043,Texas,Odessa,99940,"(31.879456461, -102.344465435)",4853388.0
740771,Texas,Pasadena,149043,"(29.6589511488, -95.1509173148)",4856000.0
741829,Texas,Pearland,91252,"(29.5584850577, -95.3208389111)",4856348.0
742305,Texas,Pharr,70400,"(26.168815399, -98.1904720704)",4857200.0
742613,Texas,Plano,259841,"(33.0502149278, -96.7486409797)",4858016.0
744292,Texas,Richardson,99223,"(32.9716582389, -96.7093052991)",4861796.0
745048,Texas,Round Rock,99887,"(30.5239578235, -97.6669801882)",4863500.0
745801,Texas,San Angelo,93200,"(31.440468746, -100.452243142)",4864472.0
746497,Texas,San Antonio,1327407,"(29.4721475333, -98.5246763525)",4865000.0
755642,Texas,Sugar Land,78817,"(29.5974680902, -95.627455775)",4870808.0
756255,Texas,Tyler,96900,"(32.3154021183, -95.3050093799)",4874144.0
757089,Texas,Waco,124805,"(31.5597607137, -97.1883333282)",4876000.0
758226,Texas,Wichita Falls,104553,"(33.9072739838, -98.5292981697)",4879000.0
759149,Utah,Layton,67311,"(41.077181614, -111.961589302)",4943660.0
759736,Utah,Ogden,82825,"(41.2281567535, -111.967450557)",4955980.0
760543,Utah,Orem,88328,"(40.2987127625, -111.699188517)",4957300.0
761266,Utah,Provo,112488,"(40.2457185288, -111.645715857)",4962470.0
762149,Utah,St. George,72897,"(37.0787444634, -113.579352503)",4965330.0
762597,Utah,Salt Lake City,186440,"(40.7778489465, -111.931220784)",4967000.0
764239,Utah,Sandy,87461,"(40.5702254423, -111.852431062)",4967440.0
765103,Utah,West Jordan,103712,"(40.6022598635, -112.000961848)",4982950.0
765775,Utah,West Valley City,129480,"(40.6887696962, -112.011667394)",4983470.0
766580,Vermont,Burlington,42417,"(44.4876245694, -73.2314828365)",5010675.0
766944,Virginia,Alexandria,139966,"(38.8187351557, -77.0867762661)",5101000.0
768064,Virginia,Chesapeake,222209,"(36.6777521118, -76.3024325925)",5116000.0
769268,Virginia,Hampton,137436,"(37.0533009025, -76.3665945624)",5135000.0
770248,Virginia,Lynchburg,75568,"(37.4004163016, -79.1911081)",5147672.0
770836,Virginia,Newport News,180719,"(37.1051141309, -76.5182644502)",5156000.0
772125,Virginia,Norfolk,242803,"(36.8932863006, -76.2567157761)",5157000.0
774387,Virginia,Portsmouth,95535,"(36.8451450228, -76.3552763467)",5164000.0
775306,Virginia,Richmond,204214,"(37.5293933083, -77.475568168)",5167000.0
777210,Virginia,Roanoke,97032,"(37.2782181855, -79.9581615989)",5168000.0
777910,Virginia,Suffolk,84585,"(36.6930367981, -76.6414278469)",5176432.0
778750,Virginia,Virginia Beach,437994,"(36.7534593339, -76.0589579522)",5182000.0
781577,Washington,Auburn,70180,"(47.3038544325, -122.210810557)",5303180.0
782189,Washington,Bellevue,122363,"(47.5962437606, -122.153569982)",5305210.0
783075,Washington,Bellingham,80885,"(48.7535370315, -122.468092906)",5305280.0
783607,Washington,Everett,103019,"(47.9497966189, -122.160703911)",5322640.0
784444,Washington,Federal Way,89306,"(47.3090846316, -122.335755583)",5323515.0
785055,Washington,Kennewick,73917,"(46.198438428, -119.173245847)",5335275.0
785503,Washington,Kent,92411,"(47.3849636272, -122.217890194)",5335415.0
