,Average Temperature,Historic Low Temp,Average High Temp,Average Low Temp,Historic High Temp,State,City,CityFIPS
359659,55.0,-9.0,83.0,31.0,109.0,Kansas,Topeka,2071000.0
360806,57.0,-15.0,84.0,33.0,109.0,Kansas,Wichita,2079000.0
363933,55.0,-7.0,79.0,32.0,105.0,Kentucky,Lexington,2146027.0
366284,58.0,-3.0,81.0,37.0,104.0,Kentucky,Louisville,2148006.0
371460,67.0,19.0,87.0,46.0,106.0,Louisiana,Baton Rouge,2205000.0
373349,69.0,21.0,87.0,52.0,101.0,Louisiana,Kenner,2239475.0
373948,68.0,19.0,86.0,49.0,101.0,Louisiana,Lafayette,2240735.0
374956,67.0,19.0,86.0,48.0,102.0,Louisiana,Lake Charles,2241155.0
375628,70.0,23.0,85.0,56.0,99.0,Louisiana,New Orleans,2255000.0
380578,66.0,16.0,88.0,44.0,108.0,Louisiana,Shreveport,2270000.0
382336,46.0,-17.0,72.0,26.0,100.0,Maine,Portland,2360545.0
382951,58.0,1.0,80.0,41.0,107.0,Maryland,Baltimore,2404000.0
388606,51.0,-6.0,76.0,34.0,103.0,Massachusetts,Boston,2507000.0
393583,49.0,-21.0,76.0,25.0,101.0,Massachusetts,Brockton,2509000.0
394221,51.0,-6.0,76.0,34.0,103.0,Massachusetts,Cambridge,2511000.0
395174,50.0,-12.0,73.0,28.0,102.0,Massachusetts,Fall River,2523000.0
395929,50.0,-9.0,75.0,30.0,103.0,Massachusetts,Lawrence,2534550.0
396489,50.0,-9.0,75.0,30.0,103.0,Massachusetts,Lowell,2537000.0
397245,49.0,-8.0,74.0,29.0,100.0,Massachusetts,Lynn,2537490.0
397917,50.0,-12.0,73.0,28.0,102.0,Massachusetts,New Bedford,2545000.0
398842,51.0,-6.0,76.0,34.0,103.0,Massachusetts,Newton,2545560.0
399401,51.0,-6.0,76.0,34.0,103.0,Massachusetts,Quincy,2555745.0
400017,51.0,-6.0,76.0,34.0,103.0,Massachusetts,Somerville,2562535.0
400577,48.0,-21.0,74.0,24.0,101.0,Massachusetts,Springfield,2567000.0
401670,49.0,-14.0,74.0,28.0,103.0,Massachusetts,Worcester,2582000.0
402953,47.0,-30.0,73.0,22.0,102.0,Michigan,Ann Arbor,2603000.0
404006,50.0,-14.0,74.0,30.0,101.0,Michigan,Dearborn,2621000.0
404734,50.0,-12.0,74.0,31.0,100.0,Michigan,Detroit,2622000.0
413069,48.0,-19.0,72.0,27.0,99.0,Michigan,Farmington Hills,2627440.0
413769,48.0,-21.0,74.0,25.0,100.0,Michigan,Flint,2629000.0
414724,50.0,-12.0,74.0,31.0,100.0,Michigan,Troy,2680700.0
414946,49.0,-11.0,73.0,28.0,101.0,Michigan,Grand Rapids,2634000.0
416459,49.0,-15.0,73.0,27.0,103.0,Michigan,Kalamazoo,2642160.0
417150,48.0,-14.0,73.0,26.0,98.0,Michigan,Lansing,2646000.0
418454,50.0,-14.0,74.0,30.0,101.0,Michigan,Livonia,2649000.0
419378,48.0,-19.0,72.0,27.0,99.0,Michigan,Rochester Hills,2669035.0
419994,50.0,-12.0,74.0,31.0,100.0,Michigan,Southfield,2674900.0
420694,48.0,-16.0,72.0,28.0,97.0,Michigan,Sterling Heights,2676460.0
