,Average Temperature,Historic Low Temp,Average High Temp,Average Low Temp,Historic High Temp,State_x,City,CityFIPS,State_y,Place,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate
77,65.0,21.0,87.0,42.0,109.0,California,Merced,646898.0,06,46898,"Merced city, California",79639.0,28.4,37822.0,16876.0,23629.0,29.670136490915255,7.2703072615175985
78,60.0,25.0,83.0,45.0,107.0,California,Milpitas,647766.0,06,47766,"Milpitas city, California",67695.0,36.8,95466.0,33789.0,4702.0,6.94586010783662,4.728561932195879
79,65.0,35.0,85.0,53.0,107.0,California,Mission Viejo,648256.0,06,48256,"Mission Viejo city, California",94311.0,43.0,96210.0,40909.0,4964.0,5.26343692676358,4.719491893840591
80,65.0,24.0,87.0,44.0,111.0,California,Modesto,648354.0,06,48354,"Modesto city, California",202629.0,33.6,47060.0,22439.0,41546.0,20.50348173262465,7.767397559085817
81,63.0,22.0,90.0,41.0,109.0,California,Moreno Valley,649270.0,06,49270,"Moreno Valley city, California",196234.0,29.2,54918.0,18186.0,38015.0,19.372280033021802,7.44162581407911
82,60.0,1.0,81.0,46.0,105.0,California,Mountain View,649670.0,06,49670,"Mountain View city, California",75477.0,35.8,97338.0,54758.0,6107.0,8.09120659273686,4.54443075373955
83,63.0,22.0,90.0,41.0,109.0,California,Murrieta,650076.0,06,50076,"Murrieta city, California",104584.0,33.1,74496.0,28452.0,7280.0,6.96091180295265,5.923468216935669
84,57.0,19.0,82.0,38.0,105.0,California,Napa,650258.0,06,50258,"Napa city, California",77698.0,37.4,63274.0,30668.0,8507.0,10.948801770959355,5.126258076140956
85,65.0,35.0,85.0,53.0,107.0,California,Newport Beach,651182.0,06,51182,"Newport Beach city, California",86001.0,43.7,106333.0,78494.0,6799.0,7.905722026488064,4.198788386181556
86,66.0,32.0,90.0,51.0,111.0,California,Norwalk,652526.0,06,52526,"Norwalk city, California",105940.0,33.6,60770.0,19449.0,13469.0,12.713800264300547,5.708891825561639
87,58.0,30.0,78.0,45.0,101.0,California,Oakland,653000.0,06,53000,"Oakland city, California",397011.0,36.2,52583.0,31971.0,80274.0,20.21959089294755,6.778653488190503
88,61.0,9.0,81.0,44.0,104.0,California,Oceanside,653322.0,06,53322,"Oceanside city, California",169407.0,35.4,58153.0,26863.0,22398.0,13.221413518921887,4.994480747548803
89,66.0,28.0,91.0,48.0,112.0,California,Ontario,653896.0,06,53896,"Ontario city, California",165702.0,31.0,54249.0,18522.0,29801.0,17.984695417074025,7.359597349458666
90,65.0,35.0,85.0,53.0,107.0,California,Orange,653980.0,06,53980,"Orange city, California",137999.0,35.4,78838.0,31535.0,15623.0,11.321096529684997,4.726121203776839
91,60.0,32.0,79.0,49.0,103.0,California,Oxnard,654652.0,06,54652,"Oxnard city, California",199574.0,30.5,60784.0,20605.0,33038.0,16.554260575024802,5.19757082585908
92,64.0,15.0,89.0,41.0,110.0,California,Palmdale,655156.0,06,55156,"Palmdale city, California",153885.0,29.1,53922.0,18797.0,32318.0,21.001397147220327,6.448321798745817
93,66.0,31.0,90.0,49.0,112.0,California,Pasadena,656000.0,06,56000,"Pasadena city, California",138004.0,37.3,69302.0,41152.0,17904.0,12.973536998927568,5.765050288397438
94,63.0,22.0,90.0,41.0,109.0,California,Perris,656700.0,06,56700,"Perris city, California",69743.0,27.0,48311.0,13666.0,17860.0,25.608304776106564,8.934229958562149
95,60.0,24.0,86.0,42.0,109.0,California,Pleasanton,657792.0,06,57792,"Pleasanton city, California",71488.0,40.1,118317.0,50540.0,3450.0,4.8259847806624885,4.167132945389436
96,65.0,23.0,92.0,45.0,115.0,California,Pomona,658072.0,06,58072,"Pomona city, California",150006.0,29.9,49474.0,17035.0,31533.0,21.021159153633853,5.827766889324427
97,66.0,28.0,91.0,48.0,112.0,California,Rancho Cucamonga,659451.0,06,59451,"Rancho Cucamonga city, California",167743.0,35.2,77835.0,32209.0,11296.0,6.734111110448723,5.957923728560953
98,66.0,16.0,90.0,42.0,114.0,California,Redding,659920.0,06,59920,"Redding city, California",90370.0,38.0,44236.0,23443.0,16070.0,17.782449928073476,5.658957618678765
99,63.0,22.0,90.0,41.0,109.0,California,Redlands,659962.0,06,59962,"Redlands city, California",69277.0,36.2,66835.0,32389.0,8352.0,12.055949304964129,4.206302235951326
100,67.0,34.0,86.0,50.0,109.0,California,Redondo Beach,660018.0,06,60018,"Redondo Beach city, California",67094.0,40.0,99496.0,53689.0,3634.0,5.416281634721436,4.304408739976749
101,60.0,32.0,81.0,47.0,108.0,California,Redwood City,660102.0,06,60102,"Redwood City city, California",78241.0,36.6,79419.0,40562.0,6890.0,8.806124666095782,4.0720338441482085
102,66.0,28.0,91.0,48.0,112.0,California,Rialto,660466.0,06,60466,"Rialto city, California",100479.0,28.4,49593.0,15948.0,19048.0,18.95719503577862,7.73992575563053
103,58.0,30.0,78.0,45.0,101.0,California,Richmond,660620.0,06,60620,"Richmond city, California",105280.0,34.8,54589.0,25722.0,19266.0,18.299772036474163,6.06667933130699
104,67.0,30.0,92.0,48.0,113.0,California,Riverside,662000.0,06,62000,"Riverside city, California",309150.0,30.4,55636.0,22182.0,57144.0,18.484230955846677,6.860747210092188
105,63.0,23.0,86.0,42.0,108.0,California,Roseville,662938.0,06,62938,"Roseville city, California",122039.0,37.1,74114.0,33622.0,10018.0,8.208851268856677,4.837797753177263
106,62.0,22.0,87.0,43.0,109.0,California,Sacramento,664000.0,06,64000,"Sacramento city, California",471477.0,33.7,49753.0,25508.0,101466.0,21.52088012776869,7.246164712170477
107,56.0,28.0,76.0,44.0,101.0,California,Salinas,664224.0,06,64224,"Salinas city, California",152340.0,28.8,49264.0,17396.0,31514.0,20.686622029670474,5.385978731784167
108,67.0,30.0,92.0,48.0,113.0,California,San Bernardino,665000.0,06,65000,"San Bernardino city, California",211528.0,29.2,38385.0,14879.0,66825.0,31.59156234635604,7.488370333951061
109,63.0,35.0,85.0,50.0,107.0,California,San Diego,666000.0,06,66000,"San Diego city, California",1322838.0,33.7,64058.0,33152.0,200777.0,15.177746632618657,4.985342120501528
110,58.0,34.0,78.0,47.0,98.0,California,San Francisco,667000.0,06,67000,"San Francisco city, California",817501.0,38.5,75604.0,48486.0,108306.0,13.248424160949039,5.033388338362889
111,64.0,27.0,85.0,46.0,108.0,California,San Jose,668000.0,06,68000,"San Jose city, California",968903.0,35.6,81829.0,34025.0,117443.0,12.121234014137638,5.704079768563004
112,58.0,30.0,78.0,45.0,101.0,California,San Leandro,668084.0,06,68084,"San Leandro city, California",86038.0,39.9,63055.0,28801.0,8555.0,9.943280875892048,6.081033961737837
113,63.0,32.0,80.0,52.0,103.0,California,San Marcos,668196.0,06,68196,"San Marcos city, California",85322.0,34.5,53657.0,24484.0,12342.0,14.465202409695038,3.545392747474274
114,60.0,32.0,81.0,47.0,108.0,California,San Mateo,668252.0,06,68252,"San Mateo city, California",98601.0,39.2,85669.0,45202.0,6899.0,6.996886441313983,4.505025304003002
115,60.0,24.0,86.0,42.0,109.0,California,San Ramon,668378.0,06,68378,"San Ramon city, California",72707.0,37.4,127313.0,51091.0,2767.0,3.8056858349264857,3.7699258668353806
116,65.0,35.0,85.0,53.0,107.0,California,Santa Ana,669000.0,06,69000,"Santa Ana city, California",328719.0,29.2,53335.0,16374.0,68903.0,20.961064009077663,5.32734645700431
117,60.0,29.0,81.0,44.0,101.0,California,Santa Barbara,669070.0,06,69070,"Santa Barbara city, California",89062.0,36.1,65034.0,37225.0,12343.0,13.858884821809525,4.314971592822977
118,60.0,25.0,83.0,45.0,107.0,California,Santa Clara,669084.0,06,69084,"Santa Clara city, California",117817.0,34.4,91583.0,39966.0,10319.0,8.758498349134674,4.692871147627252
119,71.0,34.0,93.0,51.0,113.0,California,Santa Clarita,669088.0,06,69088,"Santa Clarita city, California",177366.0,36.4,82607.0,33818.0,16538.0,9.324222229739634,5.701769222962687
120,57.0,26.0,82.0,42.0,105.0,California,Santa Maria,669196.0,06,69196,"Santa Maria city, California",100152.0,28.9,50563.0,18560.0,20448.0,20.416966211358734,5.410775621055995
121,63.0,37.0,82.0,51.0,102.0,California,Santa Monica,670000.0,06,70000,"Santa Monica city, California",90752.0,40.2,73649.0,57390.0,10026.0,11.047690409026798,6.03182299012694
122,57.0,21.0,85.0,38.0,109.0,California,Santa Rosa,670098.0,06,70098,"Santa Rosa city, California",169005.0,36.7,60354.0,29688.0,22423.0,13.267654803112334,5.9524866128221054
123,66.0,30.0,91.0,49.0,111.0,California,Simi Valley,672016.0,06,72016,"Simi Valley city, California",124803.0,38.1,87269.0,36516.0,8205.0,6.574361193240547,4.7082201549642235
124,65.0,36.0,86.0,52.0,112.0,California,South Gate,673080.0,06,73080,"South Gate city, California",95000.0,30.3,42776.0,14259.0,19954.0,21.004210526315788,6.996842105263158
125,64.0,22.0,87.0,42.0,110.0,California,Stockton,675000.0,06,75000,"Stockton city, California",294406.0,31.0,46831.0,19896.0,70269.0,23.868059754216965,7.833739801498611
126,60.0,1.0,81.0,46.0,105.0,California,Sunnyvale,677000.0,06,77000,"Sunnyvale city, California",143315.0,35.2,100043.0,45977.0,11586.0,8.084289851027457,4.853644070753236
127,61.0,25.0,85.0,42.0,108.0,California,Temecula,678120.0,06,78120,"Temecula city, California",102605.0,33.3,78356.0,28018.0,8697.0,8.476195117197017,5.256079138443545
128,62.0,32.0,83.0,47.0,104.0,California,Thousand Oaks,678582.0,06,78582,"Thousand Oaks city, California",127356.0,41.7,100476.0,45522.0,8586.0,6.741731838311504,4.956971010396055
129,67.0,34.0,86.0,50.0,109.0,California,Torrance,680000.0,06,80000,"Torrance city, California",146187.0,41.8,77061.0,36234.0,10711.0,7.3269168941150715,4.306128451914329
130,63.0,22.0,87.0,42.0,110.0,California,Tracy,680238.0,06,80238,"Tracy city, California",83452.0,32.7,76098.0,26652.0,6770.0,8.112447874227101,7.00762114748598
131,65.0,24.0,87.0,44.0,111.0,California,Turlock,680812.0,06,80812,"Turlock city, California",69185.0,33.3,53270.0,23199.0,11764.0,17.003685770036856,7.390330273903302
132,65.0,35.0,85.0,53.0,107.0,California,Tustin,680854.0,06,80854,"Tustin city, California",76497.0,33.3,73194.0,31524.0,9312.0,12.17302639319189,4.828947540426422
133,61.0,28.0,81.0,45.0,108.0,California,Union City,681204.0,06,81204,"Union City city, California",70687.0,36.5,82083.0,29685.0,5905.0,8.353728408335337,4.832571760012449
134,66.0,28.0,91.0,48.0,112.0,California,Upland,681344.0,06,81344,"Upland city, California",74487.0,36.5,62667.0,28604.0,9962.0,13.374145824103534,5.578154577308792
135,63.0,21.0,88.0,42.0,112.0,California,Vacaville,681554.0,06,81554,"Vacaville city, California",93137.0,37.5,73582.0,29681.0,8382.0,8.999645683240818,4.664096975423301
136,57.0,19.0,82.0,38.0,105.0,California,Vallejo,681666.0,06,81666,"Vallejo city, California",117079.0,38.5,58371.0,25996.0,20242.0,17.28918080953886,8.254255673519589
137,65.0,12.0,88.0,39.0,110.0,California,Victorville,682590.0,06,82590,"Victorville city, California",117551.0,29.0,50034.0,16477.0,28417.0,24.174188224685455,5.936997558506521
